"","scoring_play","score_value","shot_x","shot_y","shot_distance","shot_type"
"658",TRUE,2,13,3,13.3416640641263,"Turnaround Fade Away Jump Shot"
"659",FALSE,0,4,2,4.47213595499958,"Pullup Jump Shot"
"660",FALSE,0,-7,3,7.61577310586391,"Turnaround Jump Shot"
"661",TRUE,2,-11,13,17.0293863659264,"Pullup Jump Shot"
"662",FALSE,0,0,17,17,"Jump Shot"
"663",TRUE,2,0,14,14,"Pullup Jump Shot"
"664",FALSE,0,1,6,6.08276253029822,"Turnaround Jump Shot"
"665",TRUE,2,-3,2,3.60555127546399,"Driving Layup Shot"
"666",FALSE,0,23,6,23.7697286480094,"Jump Shot"
"667",TRUE,2,2,7,7.28010988928052,"Turnaround Hook Shot"
"668",TRUE,2,2,3,3.60555127546399,"Cutting Layup Shot"
"669",FALSE,0,-3,3,4.24264068711928,"Layup Shot"
"670",FALSE,0,-1,2,2.23606797749979,"Cutting Layup Shot"
"671",FALSE,0,-3,3,4.24264068711928,"Running Layup Shot"
"672",TRUE,2,-9,11,14.2126704035519,"Step Back Jump Shot"
"673",TRUE,2,3,9,9.48683298050514,"Pullup Jump Shot"
"674",FALSE,0,-13,4,13.6014705087354,"Pullup Jump Shot"
"675",FALSE,0,-14,2,14.142135623731,"Pullup Jump Shot"
"676",FALSE,0,0,13,13,"Jump Shot"
"677",FALSE,0,-11,13,17.0293863659264,"Turnaround Jump Shot"
"678",FALSE,0,1,3,3.16227766016838,"Layup Shot Putback"
"679",TRUE,2,-3,19,19.2353840616713,"Jump Shot"
"680",TRUE,2,-2,18,18.1107702762748,"Pullup Jump Shot"
"681",TRUE,2,3,2,3.60555127546399,"Driving Layup Shot"
"682",FALSE,0,-2,2,2.82842712474619,"Layup Shot"
"683",FALSE,0,10,24,26,"Running Jump Shot"
"684",FALSE,0,6,4,7.21110255092798,"Pullup Jump Shot"
"685",FALSE,0,-10,14,17.2046505340853,"Jump Shot"
"686",FALSE,0,2,22,22.0907220343745,"Pullup Jump Shot"
"687",TRUE,2,-8,9,12.0415945787923,"Jump Shot"
"688",FALSE,0,3,2,3.60555127546399,"Cutting Layup Shot"
"689",TRUE,2,-5,2,5.3851648071345,"Layup Shot"
"690",FALSE,0,-5,13,13.9283882771841,"Turnaround Jump Shot"
"691",FALSE,0,2,5,5.3851648071345,"Turnaround Jump Shot"
"692",TRUE,2,-12,4,12.6491106406735,"Jump Shot"
"693",TRUE,2,0,7,7,"Pullup Jump Shot"
"694",FALSE,0,4,3,5,"Cutting Layup Shot"
"695",FALSE,0,5,6,7.81024967590665,"Driving Layup Shot"
"696",TRUE,2,3,14,14.3178210632764,"Pullup Jump Shot"
"697",FALSE,0,22,12,25.0599281722833,"Jump Shot"
"698",TRUE,2,-8,6,10,"Pullup Jump Shot"
"699",TRUE,2,-3,19,19.2353840616713,"Jump Shot"
"700",FALSE,0,12,27,29.5465734053883,"Pullup Jump Shot"
"701",TRUE,2,-2,2,2.82842712474619,"Driving Finger Roll Layup"
"702",TRUE,2,0,0,0,"Cutting Layup Shot"
"703",FALSE,0,-6,34,34.5253530032641,"Jump Shot"
"704",TRUE,2,0,11,11,"Jump Shot"
"705",FALSE,0,6,6,8.48528137423857,"Fade Away Jump Shot"
"706",TRUE,2,3,11,11.4017542509914,"Pullup Jump Shot"
"707",TRUE,2,9,11,14.2126704035519,"Jump Shot"
"708",FALSE,0,-4,14,14.560219778561,"Pullup Jump Shot"
"709",TRUE,2,0,2,2,"Layup Shot Putback"
"710",TRUE,2,-2,11,11.1803398874989,"Pullup Jump Shot"
"711",TRUE,2,6,11,12.5299640861417,"Turnaround Fade Away Jump Shot"
"712",FALSE,0,16,18,24.0831891575846,"Jump Shot"
"713",FALSE,0,2,11,11.1803398874989,"Turnaround Jump Shot"
"714",TRUE,2,-2,2,2.82842712474619,"Driving Layup Shot"
"715",TRUE,2,-2,1,2.23606797749979,"Layup Shot Putback"
"716",TRUE,2,-3,3,4.24264068711928,"Cutting Layup Shot"
"717",FALSE,0,0,7,7,"Driving Layup Shot"
"718",FALSE,0,0,14,14,"Jump Shot"
"719",TRUE,2,0,6,6,"Driving Layup Shot"
"720",TRUE,2,-5,7,8.60232526704263,"Cutting Layup Shot"
"721",FALSE,0,-10,7,12.2065556157337,"Driving Layup Shot"
"722",FALSE,0,-8,13,15.2643375224737,"Step Back Jump Shot"
"723",TRUE,2,-2,5,5.3851648071345,"Driving Layup Shot"
