is_hr,launch_angle,launch_speed,bat_speed,swing_length,attack_angle,swing_path_tilt,plate_x,plate_z,inning,balls,strikes,is_stand_left,is_throw_left
0,-28,102.7,69,7.2,1.923382189811016,28.19105020726246,-0.16,2.33,1,0,0,1,1
0,18,88.6,75.1,7.3,4.728403608460567,40.06912527260586,0.71,2.23,1,0,0,1,1
0,17,75.9,71.7,6.8,1.3816471172592335,27.967565097027617,-0.95,2.57,1,1,0,0,1
0,10,87.9,70.6,6.8,3.5281656637264427,37.64127343960253,-0.62,2.19,9,0,1,0,0
0,17,73,72.7,7.9,14.171017976872552,21.189333759602377,-1.22,2.86,9,0,0,1,0
1,30,105.7,74.8,7.1,15.14534286471867,30.553190529575563,0.24,2.82,9,0,1,0,0
0,38,80.7,54.7,6.9,7.687334151790853,28.31230970703754,0.31,2.06,9,0,2,0,0
0,27,81.4,68.9,6.9,1.274384085587974,26.010539504105463,0.48,3.01,8,1,0,0,0
0,3,101.6,79.8,7.7,17.81628755961516,32.130012936143885,0.21,2.79,8,3,1,0,0
0,21,96.4,70.5,8.1,12.72254310251436,32.625399520897616,-0.1,1.58,8,2,2,0,0
0,-61,56.7,72.2,8.6,14.342929403612285,31.73671215282185,0.03,1.37,8,1,0,0,0
0,42,88.7,79.9,7.1,15.724676479463405,19.578480100823032,-0.04,3.47,7,0,1,1,0
0,-47,70.1,75.1,6.8,-19.35165084581621,36.58935889347547,-0.64,2.04,7,2,2,0,0
0,34,82.8,79.6,8.2,22.039539068194912,28.013219790786188,0.44,2.89,7,1,0,0,0
0,-18,93.9,62.9,5.4,-3.563641285851463,37.02092885623144,-0.11,2.42,7,2,1,0,1
0,9,99.6,71,6.4,7.055118237839878,24.405432024588503,-0.06,2.41,7,3,2,1,1
0,-5,77.3,73.8,7.6,8.851088963741375,28.08462466937578,-0.52,2.5,6,0,0,0,0
0,34,70.7,64.3,6.9,24.43268981048279,28.504570654448,-0.92,2.15,6,2,2,1,0
0,-12,85.8,66.8,6.2,11.527910789017856,31.740106719708084,0.88,2.23,6,1,1,1,0
0,17,95.2,69.1,7.8,22.31341423994556,37.31258132869604,-0.03,1.92,6,1,0,0,0
0,-5,72.5,52.1,8.4,36.5302114434903,26.724498894555413,0.91,2.36,6,1,1,0,1
0,-3,101,67,6.3,-2.816745508866967,39.750146529315856,-0.33,2.14,6,0,1,0,1
0,60,81.1,69.6,7.1,14.69069578597541,24.993038429613037,-0.12,2.99,6,1,1,0,1
1,25,108.7,77.5,7.6,17.02235445982838,36.135854465901296,0.44,2.63,5,0,0,0,0
0,-22,109.7,75.9,7.9,8.31775499536921,28.3102633406566,0,1.76,5,0,1,1,0
0,37,106.4,77.9,7.5,8.46803648001938,24.718287981521826,0.55,2.9,5,2,2,0,0
0,28,104.4,73.2,7.6,9.007782584213697,34.588682414215405,-0.38,2.03,5,1,2,0,1
0,32,73.1,70.2,8,26.909329856309437,26.034638535529258,-0.59,2.48,5,1,2,1,1
0,-5,96.2,72.8,7,16.68069849646594,40.86166515157749,-0.54,2.69,4,0,0,0,0
